fecha,taxi_verde_williamsburg,uber_williamsburg,uber_midtown
2024-06-01,291.4,339938.85,162255.1
2024-06-02,480.02,254645.27,113694.65
2024-06-03,0.0,106596.77,280473.49
2024-06-04,72.3,105553.5,408520.92
2024-06-05,88.96000000000001,124873.13,477617.8
2024-06-06,131.0,143441.55,526480.68
2024-06-07,94.21,181570.27,291620.51
2024-06-08,468.6,277873.96,175550.56
2024-06-09,639.2,238737.35,114525.05
2024-06-10,50.64,115884.83,305391.58
2024-06-11,33.6,107548.93000000001,403741.7
2024-06-12,15.12,133586.34,460147.88
2024-06-13,158.34,159297.22,468369.84
2024-06-14,192.32999999999998,189532.27,291691.5
2024-06-15,528.96,346016.89,159296.83
2024-06-16,488.15999999999997,297273.13,144798.47
2024-06-17,28.6,108777.47,278085.71
2024-06-18,0.0,115344.29,412982.71
2024-06-19,84.57,139040.31,223314.82
2024-06-20,144.8,137358.66,405325.31
2024-06-21,78.01,172953.6,281972.82
2024-06-22,318.96,260825.81,176189.02
2024-06-23,697.92,223479.11000000002,157852.54
2024-06-24,42.15,108027.26,299420.53
2024-06-25,100.66,112746.99,431665.7
2024-06-26,33.54,140142.93,553157.62
2024-06-27,39.88,145404.58,451662.91
2024-06-28,112.12,174661.12,246050.37
2024-06-29,417.46999999999997,264561.93,156962.29
2024-06-30,289.74,230164.91,143306.39
2024-07-01,78.61,106954.17,217656.2
2024-07-02,0.0,96240.35,254400.18
2024-07-03,55.260000000000005,122511.14,185012.43
2024-07-04,254.84,177437.31,93629.6
2024-07-05,196.29,142982.72,144385.91
2024-07-06,167.07999999999998,162769.31,143087.21
2024-07-07,519.57,161113.94,138488.6
2024-07-08,28.0,94447.03,261877.44
2024-07-09,68.15,99137.89,369381.77
2024-07-10,61.85,120108.2,405516.97000000003
2024-07-11,20.64,132958.59,428265.17
2024-07-12,181.92000000000002,147924.2,244992.49
2024-07-13,180.3,228803.84,169283.92
2024-07-14,205.14999999999998,231410.62,146761.8
2024-07-15,32.8,115703.79,283704.84
2024-07-16,0.0,116570.91,454771.41
2024-07-17,162.11,157220.1,520156.14
2024-07-18,198.93,149395.66,450468.64
2024-07-19,121.95,161390.67,267397.12
2024-07-20,495.92,251845.25,171225.86000000002
2024-07-21,387.57,220567.15,153951.73
2024-07-22,22.48,102417.01,273202.12
2024-07-23,0.0,110346.24,364352.57
2024-07-24,135.95,128170.96,399037.04
2024-07-25,258.35,135903.14,407645.71
2024-07-26,232.3,171986.26,245763.72
2024-07-27,499.45,238434.78,172049.05
2024-07-28,641.12,200370.99,150953.37
2024-07-29,22.62,99675.06,257819.74
2024-07-30,162.62,105011.69,353869.08
2024-07-31,40.8,126628.34,409720.51
2024-08-01,20.04,132147.09,378304.57
2024-08-02,142.72,165262.92,254552.77
2024-08-03,261.44,243577.24,200364.33
2024-08-04,248.68,186291.2,151407.42
2024-08-05,145.76,109615.64,247477.08
2024-08-06,0.0,125400.06,483142.29
2024-08-07,41.55,119280.21,409348.64
2024-08-08,37.2,138921.05,393579.96
2024-08-09,154.28,144831.58,220159.1
2024-08-10,530.69,222452.95,159527.13
2024-08-11,520.0799999999999,210617.5,106068.61
2024-08-12,61.78,92771.71,216176.96
2024-08-13,57.0,87000.97,278852.38
2024-08-14,104.68,109774.75,319547.94
2024-08-15,117.68,126028.79,322544.88
2024-08-16,244.7,154118.87,200566.9
2024-08-17,630.54,235275.04,142982.22
2024-08-18,399.45,214274.65,132526.87
2024-08-19,79.71000000000001,124396.36,190042.22
2024-08-20,83.76,99316.57,257745.31
2024-08-21,99.42,109813.46,296025.79
2024-08-22,224.44,132814.41,301927.82
2024-08-23,297.56,146918.49,188041.34000000003
2024-08-24,554.15,215337.37,141758.88
2024-08-25,750.36,183481.43,139268.42
2024-08-26,127.69999999999999,93561.26,202973.37
2024-08-27,0.0,98165.06,264267.9
2024-08-28,24.36,129547.11,289411.1
2024-08-29,65.6,132089.78,273453.44
2024-08-30,85.92,161967.18,199312.02
2024-08-31,178.34,197993.88,171952.64
2024-09-01,176.82,195157.62,160304.93
2024-09-02,241.51,145405.87,140716.56
2024-09-03,78.72,96564.1,288847.36
2024-09-04,73.8,106698.26,397762.29
2024-09-05,171.23000000000002,133252.54,477680.53
2024-09-06,161.44,164982.49,329405.76
2024-09-07,278.51,246495.91,200696.83
2024-09-08,395.12,225723.47,180251.1
2024-09-09,9.0,119845.32,323200.88
2024-09-10,42.900000000000006,111919.92,423533.87
2024-09-11,122.43,124267.6,444865.07
2024-09-12,174.63,140311.04,488622.76
2024-09-13,180.34,167087.82,277989.69
2024-09-14,766.14,260968.57,183065.73
2024-09-15,669.4399999999999,236352.14,155638.65
2024-09-16,147.24,106908.54,268739.13
2024-09-17,30.96,121710.88,399084.69
2024-09-18,129.88,121034.98,456942.88
2024-09-19,309.4,140212.02,477039.4
2024-09-20,308.4,183373.6,278047.5
2024-09-21,549.75,279107.61,178074.98
2024-09-22,533.84,229719.99,152696.9
2024-09-23,51.06,116597.54,261572.28
2024-09-24,169.78,118302.43000000001,348964.78
2024-09-25,20.87,115885.5,422176.88
2024-09-26,57.57,147205.21,452291.33
2024-09-27,193.75,168752.31,292327.05
2024-09-28,628.87,358447.4,216461.7
2024-09-29,720.29,271921.96,184944.2
2024-09-30,57.18,108130.07,291038.56
2024-10-01,78.16,106533.91,416636.99
2024-10-02,0.0,103873.37,403105.76
2024-10-03,0.0,118168.3,341808.11
2024-10-04,104.48,145125.49,234629.59
2024-10-05,519.3,255862.03,186707.66999999998
2024-10-06,834.8199999999999,208924.44,127608.69
2024-10-07,76.75,101243.82,283144.07
2024-10-08,23.4,101219.57,405692.86
2024-10-09,27.54,113868.42,481605.51
2024-10-10,101.99000000000001,146688.88,517593.44
2024-10-11,66.78,153088.06,292773.18
2024-10-12,257.36,244816.68,186874.71
2024-10-13,507.09000000000003,209743.74,157796.28
2024-10-14,77.4,111901.41,232626.04
2024-10-15,34.88,106094.57,398511.37
2024-10-16,63.99999999999999,134104.67,463057.12
2024-10-17,165.04000000000002,147516.51,480408.7
2024-10-18,87.22999999999999,167696.63,313768.51
2024-10-19,959.33,248695.43,210304.4
2024-10-20,715.45,217205.51,179819.5
2024-10-21,40.72,103670.95,305269.39
2024-10-22,0.0,108876.21,420503.5
2024-10-23,201.61,118121.22,490279.13
2024-10-24,35.16,136547.96,479987.85
2024-10-25,141.45,173790.1,313096.11
2024-10-26,1243.27,309414.1,227019.91
2024-10-27,1418.31,293093.1,191263.9
2024-10-28,32.67,104993.05,318325.71
2024-10-29,0.0,102613.35,455692.19
2024-10-30,0.0,123744.81000000001,489448.6
2024-10-31,103.7,135580.28,321311.57
2024-11-01,338.17,198017.38,253557.77
2024-11-02,1265.98,284678.77,195837.07
2024-11-03,589.33,236161.8,197092.27
2024-11-04,0.0,104040.97,322982.84
2024-11-05,0.0,88100.81,303529.93
2024-11-06,45.24,104823.13,393391.11
2024-11-07,191.82,115103.43000000001,458359.55
2024-11-08,296.44,154623.25,291470.61
2024-11-09,818.9300000000001,263446.83,232999.72
2024-11-10,823.5600000000001,219451.8,208620.3
2024-11-11,12.12,102628.95,258150.35
2024-11-12,0.0,107227.11,462380.08
2024-11-13,30.99,124691.02,531733.65
2024-11-14,86.38999999999999,134701.57,591703.28
2024-11-15,409.65,158681.09,339071.18
2024-11-16,1092.71,316070.4,237922.08
2024-11-17,1310.37,212389.52,199786.46
2024-11-18,61.88,96076.1,338034.99
2024-11-19,0.0,102538.07,488542.78
2024-11-20,7.0,113122.06,535918.76
2024-11-21,47.62,159658.03,755627.16
2024-11-22,137.88,187535.58,392569.99
2024-11-23,626.88,243790.11000000002,220552.13
2024-11-24,774.64,188001.08,186878.76
2024-11-25,0.0,93368.87,282477.55
2024-11-26,39.84,109226.34,327073.95
2024-11-27,0.0,108731.12,214622.26
2024-11-28,0.0,104182.38,137729.83
2024-11-29,118.02,86617.64,203382.56
2024-11-30,347.38,139112.3,223424.0
2024-12-01,483.75,125819.21,179501.15
2024-12-02,0.0,91354.05,349356.93
2024-12-03,21.72,110611.07,553884.1
2024-12-04,30.25,123239.07,513369.05
2024-12-05,37.0,153387.78,721606.89
2024-12-06,28.06,187883.42,441533.64
2024-12-07,814.94,285363.84,301022.76
2024-12-08,1039.69,232318.93,225694.2
2024-12-09,0.0,112287.97,450665.23
2024-12-10,0.0,126445.94,695369.74
2024-12-11,0.0,159886.41,800275.66
2024-12-12,0.0,191389.58,716724.24
2024-12-13,181.31,240716.15,495676.41
2024-12-14,650.51,303080.18,321992.95
2024-12-15,897.99,241849.44,260488.56
2024-12-16,114.1,127745.94,370986.4
2024-12-17,12.1,115845.69,454748.19
2024-12-18,36.37,156991.87,539159.4
2024-12-19,0.0,152889.77,473179.93
2024-12-20,85.22,165926.82,319680.13
2024-12-21,352.78,206473.6,222830.88999999998
2024-12-22,430.69,171342.69,224546.71
2024-12-23,18.0,106673.99,220242.73
2024-12-24,0.0,89084.45,149159.89
2024-12-25,0.0,52938.69,104549.9
2024-12-26,52.75,62835.87,157122.11000000002
2024-12-27,16.12,80335.22,174712.41
2024-12-28,17.4,109542.83,191981.64
2024-12-29,170.7,104916.49,153084.07
2024-12-30,0.0,83868.06,168609.75
2024-12-31,55.230000000000004,131946.93,142331.04
2025-01-01,539.52,252345.48,166406.26
2025-01-02,40.14,77369.95,172458.62
2025-01-03,74.53,93930.53,171880.93
2025-01-04,212.97,144063.2,169513.14
2025-01-05,307.18,121367.97,143198.5
2025-01-06,0.0,72315.71,248694.73
2025-01-07,0.0,79308.57,315824.17
2025-01-08,0.0,92610.47,348296.21
2025-01-09,159.06,102304.97,364260.09
2025-01-10,296.63,125918.19,258762.56
2025-01-11,647.99,202988.36000000002,170707.33
2025-01-12,833.87,178419.64,145997.92
2025-01-13,0.0,90979.89,293367.81
2025-01-14,61.64,94429.34,405902.15
2025-01-15,0.0,115200.5,466271.8
2025-01-16,77.77,116316.26,502044.48
2025-01-17,153.92000000000002,143667.31,284041.66
2025-01-18,434.01,203446.74,173851.75
2025-01-19,351.17,190514.06,153769.09
2025-01-20,0.0,117454.83,149029.69
2025-01-21,0.0,100934.15,361009.0
2025-01-22,0.0,109146.01,455648.27
2025-01-23,10.0,119318.18000000001,502042.24
2025-01-24,95.22,148207.45,311954.32
2025-01-25,811.1899999999999,245176.77,198511.93
2025-01-26,1258.44,237903.2,148741.48
2025-01-27,65.14,92781.36,290251.98
2025-01-28,0.0,88484.79,370515.57
2025-01-29,40.2,104956.38,422660.83
2025-01-30,82.18,127922.5,471468.15
2025-01-31,173.87,149490.45,299768.62
2025-02-01,562.85,244600.28,172903.94
2025-02-02,637.58,213873.62,150340.71
2025-02-03,0.0,90051.35,296422.78
2025-02-04,41.9,98957.9,402886.34
2025-02-05,0.0,107894.73,472020.74
2025-02-06,0.0,126342.12,462672.24
2025-02-07,67.0,157809.74,296861.05
2025-02-08,279.49,269892.39,196832.59
2025-02-09,377.94,227560.59,152092.28
2025-02-10,27.0,117358.16,304871.72000000003
2025-02-11,0.0,112255.88,448781.74
2025-02-12,65.4,125566.94,438262.48
2025-02-13,97.33,143855.53,454411.8
2025-02-14,255.48000000000002,184247.96,317075.84
2025-02-15,457.92,232276.54,232035.95
2025-02-16,790.06,209381.99,168853.46
2025-02-17,56.54,116718.61,184067.24
2025-02-18,0.0,98649.41,350587.1
2025-02-19,0.0,112604.99,418143.94
2025-02-20,0.0,136480.88,466938.58
2025-02-21,393.82,161773.9,284233.83
2025-02-22,326.55,233604.46,192400.49
2025-02-23,1231.1,191282.97,149809.03
2025-02-24,0.0,88958.59,278778.5
2025-02-25,0.0,90804.0,390967.28
2025-02-26,16.78,106012.36,443641.2
2025-02-27,91.3,122714.25,492195.19
2025-02-28,216.41,154366.92,299290.22000000003
2025-03-01,776.1,275724.23,211152.51
2025-03-02,461.38,219301.85,172833.44
2025-03-03,0.0,99642.38,317312.69
2025-03-04,0.0,96243.59,444349.45
2025-03-05,43.33,129484.09,683382.97
2025-03-06,0.0,119788.42,484016.59
2025-03-07,83.05,142187.15,296048.73
2025-03-08,690.42,235249.43,175367.85
2025-03-09,1051.31,192219.31,164409.83
2025-03-10,0.0,91236.02,289263.44
2025-03-11,0.0,105896.47,402126.82
2025-03-12,36.0,108348.87,475087.37
2025-03-13,96.27,122506.3,501393.25
2025-03-14,234.94,147815.23,286076.28
2025-03-15,841.22,242522.16,190600.55000000002
2025-03-16,761.22,193605.49,170268.48
2025-03-17,44.87,99905.1,231724.05
2025-03-18,0.0,90666.71,390729.99
2025-03-19,45.92,111563.61,439676.95
2025-03-20,157.71,151451.95,559299.56
2025-03-21,155.94,159543.77,291916.28
2025-03-22,906.79,244905.96,185835.28
2025-03-23,741.52,194801.2,167068.36
2025-03-24,61.0,97574.68000000001,339170.25
2025-03-25,83.0,92583.41,425811.11
2025-03-26,0.0,110152.01,484694.72000000003
2025-03-27,30.35,122914.16,510155.89
2025-03-28,165.70999999999998,144351.58,297084.22
2025-03-29,823.41,282886.86,203175.14
2025-03-30,834.4,224101.75,161770.17
2025-03-31,0.0,96243.93,318053.54
2025-04-01,0.0,94202.8,385786.77
2025-04-02,0.0,109636.49,465050.61
2025-04-03,0.0,132048.82,488914.09
2025-04-04,252.1,143327.05,297784.3
2025-04-05,451.23,243752.82,199323.1
2025-04-06,829.84,205843.55,164167.35
2025-04-07,77.86,104332.97,344207.08
2025-04-08,0.0,98570.56,417421.19
2025-04-09,26.6,121460.22,498471.77
2025-04-10,53.5,127634.06,500978.53
2025-04-11,28.75,162380.17,310479.62
2025-04-12,238.88,235258.86000000002,199371.68
2025-04-13,536.24,170482.77,159948.58
2025-04-14,0.0,86548.97,263942.41
2025-04-15,0.0,115134.33,350448.29
2025-04-16,0.0,102292.28,402330.94
2025-04-17,81.0,122599.63,388734.72000000003
2025-04-18,217.54000000000002,143683.85,216067.2
2025-04-19,880.07,240869.19,180104.34
2025-04-20,1188.85,193469.83,131282.81
2025-04-21,27.0,93898.67,269660.45
2025-04-22,0.0,98326.58,373609.39
2025-04-23,14.0,114189.41,432557.34
2025-04-24,47.85,137825.08,455672.49
2025-04-25,213.8,155180.63,301413.71
2025-04-26,910.47,268474.96,218468.03000000003
2025-04-27,872.26,230535.93,160185.09
2025-04-28,0.0,102440.92,276403.14
2025-04-29,20.8,96015.54,396255.39
2025-04-30,0.0,111651.21,463590.49
2025-05-01,46.2,135252.63,477556.62
2025-05-02,172.94,166598.27,300841.23
2025-05-03,1200.05,273403.77,206630.92
2025-05-04,1572.92,236346.05,185330.93
2025-05-05,0.0,115831.34,377455.66
2025-05-06,0.0,106578.93,439374.19
2025-05-07,50.5,110819.94,469935.8
2025-05-08,46.92,138705.17,512182.74
2025-05-09,292.29,179009.49,341552.43
2025-05-10,890.23,257472.92,181178.22
2025-05-11,939.2,232205.38,172400.65
2025-05-12,61.0,108761.55,328263.02
2025-05-13,0.0,114455.21,496847.38
2025-05-14,67.8,141358.73,648089.95
2025-05-15,0.0,145799.47,544808.61
2025-05-16,274.63,181783.68,363840.89
2025-05-17,1169.68,322659.38,212202.94
2025-05-18,1188.29,253095.66,149312.61
2025-05-19,25.8,115141.43000000001,316496.92
2025-05-20,40.769999999999996,127212.04,462224.28
2025-05-21,27.0,133846.76,581453.63
2025-05-22,78.3,151837.9,543207.52
2025-05-23,119.4,148416.64,245098.17
2025-05-24,679.9,178635.3,148972.74
2025-05-25,744.46,180744.01,137570.68
2025-05-26,46.0,135785.77,113784.4
2025-05-27,7.0,100355.12,300780.81
2025-05-28,0.0,106379.03,527088.2
2025-05-29,32.92,125336.48,442581.38
2025-05-30,256.64,153360.82,256968.49
2025-05-31,987.9499999999999,256381.47,173226.1
2025-06-01,1330.8700000000001,211438.32,143511.61
2025-06-02,34.0,99843.77,280218.67
2025-06-03,12.45,98417.6,408118.11
2025-06-04,10.5,125811.14,490394.09
2025-06-05,76.1,148409.88,547902.82
2025-06-06,251.62,181964.66,307991.8
2025-06-07,696.62,278933.68,220476.14
2025-06-08,785.46,241157.32,133938.4
2025-06-09,30.12,122399.47,356390.39
2025-06-10,51.65,123816.69,475740.49
2025-06-11,0.0,128763.18000000001,508497.69
2025-06-12,301.3,151654.94,543224.22
2025-06-13,456.81,168163.47,287613.54
2025-06-14,1030.77,238694.48,163142.18
2025-06-15,1121.57,211707.04,130677.46
2025-06-16,117.7,101695.35,315829.17
2025-06-17,0.0,109987.83,426790.82
2025-06-18,148.01999999999998,126488.49,466756.18
2025-06-19,129.0,172453.1,273836.2
2025-06-20,362.76,156795.6,231818.03
2025-06-21,1281.34,276447.88,182475.64
2025-06-22,844.74,228073.94,164179.21
2025-06-23,31.56,131383.8,363890.07
2025-06-24,123.2,131826.85,576194.4
2025-06-25,54.06,142498.36,614458.26
2025-06-26,70.1,142170.92,537167.53
2025-06-27,341.22,157754.19,285768.45
2025-06-28,966.97,251304.0,171278.97
2025-06-29,714.22,226255.69,153706.31
2025-06-30,21.0,105628.37,259680.08
2025-07-01,19.56,102910.32,363898.51
2025-07-02,18.36,109201.88,297838.77
2025-07-03,224.1,115834.69,184718.45
2025-07-04,769.21,173377.49,92530.37
2025-07-05,752.23,169602.15,122150.33
2025-07-06,343.97,131747.01,119152.72
2025-07-07,44.9,81726.78,257030.55
2025-07-08,0.0,95218.31,431415.89
2025-07-09,15.34,108939.43000000001,445093.41
2025-07-10,0.0,123697.77,424822.12
2025-07-11,164.35,150838.32,261596.59
2025-07-12,428.3,252177.08,174086.37
2025-07-13,766.77,210175.83,151574.31
2025-07-14,0.0,117124.87,492006.82
2025-07-15,0.0,108711.63,443854.44
2025-07-16,154.81,125497.6,485607.94
2025-07-17,25.69,150563.93,477499.54
2025-07-18,213.3,153699.26,279486.03
2025-07-19,1241.41,224907.21,179031.01
2025-07-20,1386.54,201137.24,160088.69
2025-07-21,29.45,101408.7,311159.44
2025-07-22,93.64,100119.53,408300.24
2025-07-23,42.72,116986.24,436991.84
2025-07-24,269.72,141137.79,447746.07
2025-07-25,474.57,175025.77,311024.32
2025-07-26,934.67,242542.56,174885.37
2025-07-27,1615.83,220478.64,155348.18
2025-07-28,213.76,108953.01,319513.36
2025-07-29,18.36,113706.85,448126.33
2025-07-30,0.0,128014.91,504909.58
2025-07-31,149.6,142349.79,536840.4400000001
2025-08-01,302.67,144933.25,251958.7
2025-08-02,1413.43,227930.98,154274.14
2025-08-03,1697.75,193339.19,137839.22
2025-08-04,34.53,94848.13,268860.71
2025-08-05,161.82999999999998,98630.33,360710.51
2025-08-06,131.52,112663.04,422146.96
2025-08-07,0.0,131537.25,397234.31
2025-08-08,117.5,143018.43,236468.2
2025-08-09,621.32,208673.25,145378.01
2025-08-10,1065.91,178634.11000000002,109707.95
2025-08-11,0.0,98844.93000000001,252139.27
2025-08-12,34.88,94754.8,345156.71
2025-08-13,33.96,130302.05,449951.42
2025-08-14,69.72,131935.6,373780.1
2025-08-15,237.89,149631.17,215874.85
2025-08-16,821.87,211210.12,148642.54
2025-08-17,1124.13,203778.2,137307.56
2025-08-18,0.0,93856.71,224324.58
2025-08-19,0.0,89545.05,288937.14
2025-08-20,58.519999999999996,115978.83,410305.96
2025-08-21,95.55,122857.46,331222.53
2025-08-22,159.22,145179.49,215372.16
2025-08-23,491.64,205667.61000000002,168465.27
2025-08-24,1424.22,182423.18,153760.84
2025-08-25,38.64,89725.94,229262.11000000002
2025-08-26,119.62,90335.52,285427.47000000003
2025-08-27,120.0,106435.95,314380.96
2025-08-28,167.05,121176.32,300757.89
2025-08-29,134.01999999999998,143929.57,223386.99
2025-08-30,543.74,179567.35,172292.37
2025-08-31,466.1,182505.09,160894.99
2025-09-01,313.04,132862.75,148024.39
2025-09-02,16.0,96893.6,316986.5
2025-09-03,0.0,110391.35,416091.57
2025-09-04,0.0,144207.16,540806.92
2025-09-05,254.9,166597.2,338345.71
2025-09-06,521.64,277791.4,189886.57
2025-09-07,622.5,208147.74,188022.07
2025-09-08,15.3,115107.75,363055.36
2025-09-09,38.92,113105.37,492365.13
2025-09-10,33.12,130328.78,595931.99
2025-09-11,0.0,151994.27,491690.91
2025-09-12,238.3,182680.78,324824.61
